Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/nlpkkt240,27993600,225271,    52.292,    52.303,    52.298,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/uk-2002,18520486,149039,    56.546,    56.573,    56.559,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/asia,11950757,95360,     4.372,     4.374,     4.373,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/uk-2002,18520486,149039,    56.369,    56.398,    56.383,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/nlpkkt240,27993600,225271,    35.488,    35.499,    35.494,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/NLR,4163763,33402,     2.322,     2.325,     2.323,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/uk-2002,18520486,149039,    56.299,    56.329,    56.315,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     2.638,     2.648,     2.643,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     4.854,     4.862,     4.859,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/G3,1585478,12697,     0.428,     0.430,     0.429,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/ecology1,1000000,7850,     0.251,     0.257,     0.254,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/cage15,5154859,41482,     9.518,     9.539,     9.529,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/kkt,2063494,16605,     1.027,     1.036,     1.034,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/asia,11950757,95360,     4.377,     4.380,     4.379,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/nlpkkt240,27993600,225271,    35.313,    35.323,    35.318,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/NLR,4163763,33402,     2.310,     2.313,     2.311,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.652,     2.663,     2.658,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/uk-2002,18520486,149039,    56.574,    56.602,    56.587,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     4.863,     4.870,     4.866,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
