Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
nlpkkt160_961,8345600,8945,0.000000,0.000000,0.000000,100,961,27.000000,241515,368.322581,12.867846,8,203006,26008,8163275,1108
nlpkkt240_961,27993600,30005,0.000000,0.000000,0.000000,100,961,27.000000,810135,813.364204,12.684703,8,739238,64876,27537750,2167
cage15_961,5154859,5525,0.000000,0.000000,0.000000,100,961,37.000000,205965,214.847034,59.157128,8,64296,15609,5105236,5505
G3_circuit_961,1585478,1699,0.000000,0.000000,0.000000,100,961,3.000000,6642,37.365245,6.380853,8,6062,259,1215684,1618
kkt_power_961,2063494,2211,0.000000,0.000000,0.000000,100,961,7.000000,16882,27.241415,42.734651,8,11074,1744,1917987,1772
ecology1_961,1000000,1071,0.000000,0.000000,0.000000,100,961,4.000000,4284,23.338189,5.750260,8,4032,97,651363,113
uk,18520486,19851,0.000000,0.000000,0.000000,100,961,147.000000,2849429,26.514048,544.341311,8,305564,19281,18520198,19846
asia_961,11950757,12809,0.000000,0.000000,0.000000,100,961,2.000000,36335,3.680541,4.151925,8,24740,13,5247150,12762
NLR_961,4163763,4462,0.000000,0.000000,0.000000,100,961,6.000000,26774,46.175858,5.727367,8,25952,458,3111546,4456
coPapersDBLP_961,540486,579,0.000000,0.000000,0.000000,100,961,351.000000,203437,7.396462,231.204995,8,23078,1901,540014,579
coPapersCiteseer_961,434102,465,0.000000,0.000000,0.000000,100,961,856.000000,398195,8.177940,97.173777,8,12164,2384,433481,465
copter2_961,55476,59,0.000000,0.000000,0.000000,100,961,14.000000,852,7.708637,12.651405,8,536,201,49551,59
333SP_961,3712815,3979,0.000000,0.000000,0.000000,100,961,6.000000,23883,46.192508,4.861602,8,22914,283,3121478,3968
af_shell10_961,1508065,1616,0.000000,0.000000,0.000000,100,961,34.000000,54944,66.808533,5.744017,8,50500,3900,1097034,340
AS365_961,3799275,4072,0.000000,0.000000,0.000000,100,961,6.000000,24431,42.876171,5.602497,8,22872,493,2458638,4068
europe_961,50912018,54517,0.000000,0.000000,0.000000,100,961,2.000000,145042,8.980229,5.444329,8,114024,79,28714635,54097
M6_961,3501776,3753,0.000000,0.000000,0.000000,100,961,6.000000,22518,42.665973,5.694069,8,21046,494,2477448,3748
nlpkkt200_961,16240000,17406,0.000000,0.000000,0.000000,100,961,27.000000,469962,572.852237,12.651405,8,418674,28455,13656728,1549
thermal2_961,1227087,1315,0.000000,0.000000,0.000000,100,961,6.000000,7900,24.783559,5.667014,8,7370,244,1203814,1310
