Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
coPapersCiteseer_36,434102,12420,0.000000,0.000000,0.000000,100,36,119.000000,1481446,362.861111,35.000000,8,1004928,84850,434018,12406
copter2_36,55476,1587,0.000000,0.000000,0.000000,100,36,13.000000,21365,79.083333,7.666667,8,17572,1720,50879,1587
333SP_36,3712815,104556,0.000000,0.000000,0.000000,100,36,5.000000,627236,162.833333,4.055556,8,614608,362,2474861,104458
coPapersDBLP_36,540486,15464,0.000000,0.000000,0.000000,100,36,90.000000,1396844,857.277778,35.000000,8,745068,110613,540476,15436
AS365_36,3799275,106283,0.000000,0.000000,0.000000,100,36,6.000000,637684,240.722222,4.611111,8,630096,2217,2637145,106215
M6_36,3501776,98193,0.000000,0.000000,0.000000,100,36,6.000000,589090,242.277778,4.611111,8,582882,2528,3403852,98180
thermal2_36,1227087,34564,0.000000,0.000000,0.000000,100,36,6.000000,207140,154.972222,4.166667,8,203772,1265,579011,34505
nlpkkt200_36,16240000,464619,0.000000,0.000000,0.000000,100,36,26.000000,12489444,6289.555556,8.000000,8,11663038,302822,16237367,13198
europe_36,50912018,1418037,0.000000,0.000000,0.000000,100,36,2.000000,3139492,31.361111,4.555556,8,3044272,23,36765511,1413933
coPapersDBLP_49,540486,11361,0.000000,0.000000,0.000000,100,49,97.000000,1110909,496.775510,48.000000,8,513640,49490,540422,11329
nlpkkt160_49,8345600,175102,0.000000,0.000000,0.000000,100,49,27.000000,4710096,2991.693878,9.061224,8,4254108,143244,6809341,6577
cage15_49,5154859,108362,0.000000,0.000000,0.000000,100,49,30.000000,3290151,3910.489796,23.959184,8,1320432,104072,4782913,105753
nlpkkt240_49,27993600,581576,0.000000,0.000000,0.000000,100,49,27.000000,15622848,6834.612245,8.979592,8,15020984,306250,21110366,14610
G3_circuit_49,1585478,32655,0.000000,0.000000,0.000000,100,49,3.000000,125744,163.265306,4.816327,8,122224,875,968101,26394
ecology1_49,1000000,20460,0.000000,0.000000,0.000000,100,49,4.000000,81840,117.000000,4.897959,8,80870,514,795831,443
kkt_power_49,2063494,43368,0.000000,0.000000,0.000000,100,49,6.000000,288890,458.795918,9.714286,8,240086,10484,1962263,34311
asia_49,11950757,244898,0.000000,0.000000,0.000000,100,49,2.000000,573145,5.836735,3.632653,8,503666,13,10440548,243931
NLR_49,4163763,85759,0.000000,0.000000,0.000000,100,49,6.000000,514562,216.142857,4.979592,8,507908,1612,3144107,85660
uk,18520486,389282,0.000000,0.000000,0.000000,100,49,50.000000,19099085,1184.285714,48.000000,8,9371338,36730,18520251,388951
coPapersCiteseer_49,434102,9125,0.000000,0.000000,0.000000,100,49,149.000000,1320833,212.530612,48.000000,8,432090,26636,434079,9114
copter2_49,55476,1166,0.000000,0.000000,0.000000,100,49,13.000000,15655,59.612245,8.448980,8,12946,1447,49864,1163
333SP_49,3712815,76730,0.000000,0.000000,0.000000,100,49,6.000000,460365,138.632653,4.204082,8,453280,1701,3053386,76539
AS365_49,3799275,78343,0.000000,0.000000,0.000000,100,49,6.000000,470052,201.551020,4.897959,8,463116,2257,1705337,78139
europe_49,50912018,1042429,0.000000,0.000000,0.000000,100,49,2.000000,2305407,27.408163,4.693878,8,2167300,88,48830789,1040102
M6_49,3501776,72326,0.000000,0.000000,0.000000,100,49,6.000000,433834,204.428571,4.857143,8,427662,1537,2000786,72316
thermal2_49,1227087,25626,0.000000,0.000000,0.000000,100,49,6.000000,153129,124.346939,4.530612,8,147956,1123,551080,25548
