,Name,AvgCommunication,AvgInterProcessCall,MaxRow,DiagonalElem,OffDiagonalElem,NonZeroPerRow,NonZeroPerBlock,AvgTime,PredictedRunTime,Error
0,input/AS365,121.719,5.141,30486,176362,1552,6.0,182905,3.283,1.8668160498743767,1.7586092642716042
1,input/333SP,93.141,4.516,29821,172568,308,6.0,178849,3.438,2.0847229434700347,1.6491400024011953
2,input/M6,121.508,5.25,28120,161650,1272,6.0,168664,2.987,2.348176145906868,1.272051078964699
3,input/europe,18.516,5.188,399259,898454,124,2.0,898578,30.09,20.440505973990128,1.4720770629791913
4,input/nlpkkt200,2298.391,10.609000000000002,130687,3154656,142746,27.0,3528549,29.15,31.83070144485966,0.9157825205484886
