Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/ecology1,1000000,7850,     0.289,     0.294,     0.291,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/asia,11950757,95360,     0.496,     0.499,     0.498,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     0.740,     0.742,     0.741,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/uk-2002,18520486,149039,    15.201,    15.230,    15.216,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     5.077,     5.086,     5.082,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.164,     3.170,     3.168,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     4.622,     4.630,     4.626,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/G3,1585478,12697,     0.346,     0.348,     0.347,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/ecology1,1000000,7850,     0.260,     0.262,     0.261,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/kkt,2063494,16605,     1.643,     1.650,     1.648,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,    12.800,    12.823,    12.814,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/asia,11950757,95360,     0.487,     0.489,     0.488,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/nlpkkt240,27993600,225271,    11.605,    11.615,    11.611,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/uk-2002,18520486,149039,    15.110,    15.139,    15.124,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/NLR,4163763,33402,     0.770,     0.774,     0.772,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     5.032,     5.041,     5.036,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.116,     3.121,     3.118,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     4.646,     4.654,     4.650,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/G3,1585478,12697,     0.355,     0.357,     0.356,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/cage15,5154859,41482,     9.485,     9.506,     9.496,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    11.642,    11.650,    11.646,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/ecology1,1000000,7850,     0.213,     0.219,     0.216,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/kkt,2063494,16605,     1.661,     1.669,     1.666,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/asia,11950757,95360,     0.490,     0.492,     0.491,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/uk-2002,18520486,149039,    21.147,    21.183,    21.168,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/NLR,4163763,33402,     0.717,     0.721,     0.719,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     5.106,     5.116,     5.111,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     3.179,     3.184,     3.182,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     4.651,     4.658,     4.655,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/G3,1585478,12697,     0.345,     0.347,     0.346,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/cage15,5154859,41482,     9.469,     9.489,     9.479,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/kkt,2063494,16605,     1.689,     1.698,     1.695,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/nlpkkt240,27993600,225271,    15.678,    15.691,    15.686,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/ecology1,1000000,7850,     0.210,     0.212,     0.211,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/asia,11950757,95360,     0.483,     0.486,     0.485,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     0.733,     0.737,     0.735,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
