Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
cage15_49,5154859,108362,2.570318,4.800983,3.333821,100,49,30.000000,3290151,1320432,104072,4782913,105753
nlpkkt240_49,27993600,581576,15.448368,27.587598,24.551927,100,49,27.000000,15622848,15020984,306250,21110366,14610
G3_circuit_49,1585478,32655,0.147480,0.162965,0.157385,100,49,3.000000,125744,122224,875,968101,26394
kkt_power_49,2063494,43368,0.341034,0.461777,0.407083,100,49,6.000000,288890,240086,10484,1962263,34311
ecology1_49,1000000,20460,0.094180,0.103689,0.099987,100,49,4.000000,81840,80870,514,795831,443
asia_49,11950757,244898,1.014005,2.524774,2.089421,100,49,2.000000,573145,503666,13,10440548,243931
NLR_49,4163763,85759,0.911376,2.076643,1.954299,100,49,6.000000,514562,507908,1612,3144107,85660
coPapersDBLP_49,540486,11361,0.512676,1.395483,0.816793,100,49,97.000000,1110909,513640,49490,540422,11329
uk,18520486,389282,9.986400,30.213162,19.262190,100,49,50.000000,19099085,9371338,36730,18520251,388951
copter2_49,55476,1166,0.012520,0.018298,0.016463,100,49,13.000000,15655,12946,1447,49864,1163
coPapersCiteseer_49,434102,9125,0.453190,1.778067,0.947011,100,49,149.000000,1320833,432090,26636,434079,9114
333SP_49,3712815,76730,0.793740,1.832414,1.394661,100,49,6.000000,460365,453280,1701,3053386,76539
AS365_49,3799275,78343,0.817575,1.884469,1.686189,100,49,6.000000,470052,463116,2257,1705337,78139
M6_49,3501776,72326,0.791783,1.707031,1.550098,100,49,6.000000,433834,427662,1537,2000786,72316
europe_49,50912018,1042429,9.176401,14.586060,11.899519,100,49,2.000000,2305407,2167300,88,48830789,1040102
thermal2_49,1227087,25626,0.222297,0.244152,0.235443,100,49,6.000000,153129,147956,1123,551080,25548
nlpkkt200_49,16240000,341090,13.511827,15.900054,15.160593,100,49,27.000000,9209430,8647928,263554,13928469,10277
nlpkkt160_64,8345600,134318,3.757162,8.836696,5.110760,100,64,27.000000,3613572,3287438,117094,8074433,5642
nlpkkt240_64,27993600,448832,13.256781,37.478923,22.057476,100,64,27.000000,12118464,11452388,369022,26243804,12420
cage15_64,5154859,82968,1.336301,4.612345,2.329121,100,64,31.000000,2621191,1282982,153498,5152061,82166
G3_circuit_64,1585478,25321,0.115705,0.898647,0.183140,100,64,3.000000,97887,94244,840,1458980,21229
kkt_power_64,2063494,33210,0.241569,1.334288,0.351331,100,64,6.000000,229006,190320,16172,1471521,25951
ecology1_64,1000000,15665,0.074491,0.633399,0.097433,100,64,4.000000,62660,61966,448,890317,377
uk,18520486,298078,4.520925,34.989753,16.683433,100,64,50.000000,14505468,8763576,101242,18520354,297928
asia_64,11950757,189374,0.716576,4.058666,1.420339,100,64,2.000000,461886,388552,4,9270618,187067
NLR_64,4163763,65938,0.539524,2.660251,1.329299,100,64,6.000000,395620,390348,1533,2860295,65873
coPapersDBLP_64,540486,8698,0.297870,1.527154,0.571374,100,64,105.000000,921092,567612,52848,540211,8680
